NUMB,BAND,TIME
0,0,1573323323
1,0,1573323324
2,0,1573323325
3,0,1573323326
4,0,1573323327
5,0,1573323328
6,0,1573323329
7,0,1573323330
8,0,1573323331
9,0,1573323332
10,0,1573323333
11,0,1573323334
12,0,1573323335
13,0,1573323336
14,0,1573323337
15,0,1573323338
16,0,1573323339
17,0,1573323340
18,0,1573323341
19,0,1573323342
20,0,1573323343
21,0,1573323344
22,0,1573323345
23,6.89248,1573323346
24,15.0592,1573323347
25,19.2063,1573323348
26,24.1526,1573323349
27,32.0761,1573323350
28,32.1572,1573323351
29,34.9373,1573323352
30,36.0726,1573323353
31,34.2655,1573323354
32,38.262,1573323355
33,39.2003,1573323356
34,39.5594,1573323357
35,40.4513,1573323358
36,45.1892,1573323359
37,45.3514,1573323360
38,42.2932,1573323361
39,43.3126,1573323362
40,44.1814,1573323363
41,45.3861,1573323364
42,43.579,1573323365
43,40.2081,1573323366
44,40.0459,1573323367
45,44.8764,1573323368
46,43.1388,1573323369
47,43.7991,1573323370
48,41.6445,1573323371
49,42.745,1573323372
50,43.7875,1573323373
51,42.7681,1573323374
52,37.9608,1573323375
53,32.412,1573323376
54,32.5974,1573323377
55,37.3005,1573323378
56,39.3277,1573323379
57,41.0189,1573323380
58,39.8374,1573323381
59,39.1655,1573323382
60,39.8953,1573323383
61,39.3045,1573323384
62,31.3579,1573323385
63,27.1181,1573323386
64,28.2534,1573323387
65,28.4503,1573323388
66,27.5468,1573323389
67,29.9562,1573323390
68,29.7709,1573323391
69,29.4581,1573323392
70,29.852,1573323393
71,35.0068,1573323394
72,33.1882,1573323395
73,35.0995,1573323396
74,36.7444,1573323397
75,32.3773,1573323398
76,32.9681,1573323399
77,31.6707,1573323400
78,31.3926,1573323401
79,31.3,1573323402
80,29.377,1573323403
81,29.5508,1573323404
82,30.1647,1573323405
83,29.4581,1573323406
84,30.6744,1573323407
85,31.161,1573323408
86,29.2264,1573323409
87,30.6397,1573323410
88,31.3,1573323411
89,30.7208,1573323412
90,37.6943,1573323413
91,49.1741,1573323414
92,49.1277,1573323415
93,45.6062,1573323416
94,46.7299,1573323417
95,46.2549,1573323418
96,45.6873,1573323419
97,46.7762,1573323420
98,49.9155,1573323421
99,48.7223,1573323422
100,41.3433,1573323423
101,50.0892,1573323424
102,45.919,1573323425
103,49.6143,1573323426
104,49.7417,1573323427
105,49.232,1573323428
106,49.1277,1573323429
107,48.3516,1573323430
108,48.7918,1573323431
109,48.8497,1573323432
110,46.3708,1573323433
111,46.9847,1573323434
112,44.7837,1573323435
113,44.4478,1573323436
114,46.2897,1573323437
115,46.1622,1573323438
116,41.1,1573323439
117,49.3478,1573323440
118,52.5103,1573323441
119,51.7921,1573323442
120,46.9384,1573323443
121,48.537,1573323444
122,45.2703,1573323445
123,41.8993,1573323446
124,41.7256,1573323447
125,49.985,1573323448
126,73.9638,1573323449
127,78.4932,1573323450
128,65.5191,1573323451
129,69.8631,1573323452
130,65.5191,1573323453
131,38.6095,1573323454
132,56.5068,1573323455
133,73.2572,1573323456
134,76.0721,1573323457
135,62.3914,1573323458
136,71.23,1573323459
137,72.2494,1573323460
138,53.2748,1573323461
139,73.6627,1573323462
140,59.2637,1573323463
141,70.2338,1573323464
142,77.0104,1573323465
143,79.3504,1573323466
144,81.3313,1573323467
145,56.5415,1573323468
146,73.2109,1573323469
147,77.5665,1573323470
